Year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,1033,5202,10699,15004,61984,214283,351000,602000,920139,1204000,1246000,3334000
Europe,1120,8500,43543,67026,100060,193439,222619,306143,345312,448636,1063599,1704115
USA,839,17763,53169,97102,118882,115262,159139,199818,312877,329528,297939,607567
Japan,2440,12620,24440,28880,32290,24650,24850,56000,56000,43867,29000,43900
Other,1348,3495,6872,9884,30624,29575,23000,53000,94301,75649,603462,1064418
Total,6780,47580,118060,203660,323420,547220,779989,1218000,1728629,2101680,3240000,6754000
