year,price_si,cumCapacityKw,costPerKw
2006,170.7762985,6083000,4420
2007,331.1436197,8642000,4590
2008,394.5925319,14580000,4390
2009,128.2697107,22432000,2560
2010,59.89196204,38793000,2130
2011,65.17702399,73745000,1580
2012,24.80937396,104015000,850
2013,15.15264945,139523000,900
2014,19.8,176089000,780
2015,17.89856631,222213000,790
2016,14.31784946,296155000,570
2017,14.08,389411000,480
2018,15.4,488739000,420
2019,15.4,587134000,370
2020,15.4,713970000,330
